State,StateName,Total,Population,PerCapita,
AL,Alabama,67,4833900,14,
AK,Alaska,27,705300,38,
AZ,Arizona,155,6739500,23,
AR,Arkansas,56,2953000,19,
CA,California,902,39113900,23,Abbreviation
CO,Colorado,308,5421300,57,
CT,Connecticut,53,3571700,15,
DE,Delaware,24,959100,25,
DC,Destrict of Columbia,14,676800,21,
FL,Florida,272,20085300,14,
GA,Georgia,77,10104900,8,
HI,Hawaii,24,1386000,17,
ID,Idaho,46,1659500,28,
IL,Illinois,234,12701800,18,
IN,Indiana,144,6512100,22,
IA,Iowa,106,3100600,34,
KS,Kansas,33,2852400,12,
KY,Kentucky,51,4383400,12,
LA,Louisiana,36,4604200,8,
ME,Maine,59,1341900,44,
MD,Maryland,125,5900500,21,
MA,Massachusetts,107,6785700,16,
MI,Michigan,270,9862100,27,
MN,Minnesota,111,5463000,20,
MS,Mississippi,13,2948600,4,
MO,Missouri,125,5962700,21,
MT,Montana,73,1018100,72,
NE,Nebraska,49,1859800,26,
NV,Nevada,59,2867400,21,
NH,New Hampshire,50,1292800,39,
NJ,New Jersey,152,8941600,17,
NM,New Mexico,49,2041000,24,
NY,New York,461,19695000,23,
NC,North Carolina,184,9902000,19,
ND,North Dakota,5,763400,7,
OH,Ohio,376,11450900,33,
OK,Oklahoma,25,3902900,6,
OR,Oregon,298,4032800,74,
PA,Pennsylvania,402,12595900,32,
RI,Rhode Island,20,1044800,19,
SC,South Carolina,60,4794700,13,
SD,South Dakota,14,848400,17,
TN,Tennessee,95,6616500,14,
TX,Texas,314,27434400,11,
UT,Utah,33,3004500,11,
VT,Vermont,57,609700,93,
VA,Virginia,175,8217200,21,
WA,Washington,342,7194700,48,
WV,West Virginia,32,1797500,18,
WI,Wisconsin,325,5738100,57,
WY,Wyoming,16,574800,28,
