State,Breweries,StateName,Total,,,,,,
AK,36,Alaska,27,,,,,,
AL,14,Alabama,67,,,,,,
AR,19,Arkansas,56,,,,,,
AZ,22,Arizona,155,,,,,,
CA,23,California,902,,,,Abbreviation,Name,Abbreviation
CO,56,Colorado,308,,,,,,
CT,15,Connecticut,53,,,,,,
DC,21,Destrict of Columbia,14,,,,,,
DE,25,Delaware,24,,,,,,
FL,13,Florida,272,,,,,,
GA,7,Georgia,77,,,,,,
HI,17,Hawaii,24,,,,,,
IA,34,Iowa,106,,,,,,
ID,27,Idaho,46,,,,,,
IL,18,Illinois,234,,,,,,
IN,22,Indiana,144,,,,,,
KS,11,Kansas,33,,,,,,
KY,11,Kentucky,51,,,,,,
LA,8,Louisiana,36,,,,,,
MA,16,Massachusetts,107,,,,,,
MD,21,Maryland,125,,,,,,
ME,244,Maine,325,,,,,,
MI,27,Michigan,270,,,,,,
MN,20,Minnesota,111,,,,,,
MO,21,Missouri,125,,,,,,
MS,4,Mississippi,13,,,,,,
MT,70,Montana,73,,,,,,
NC,18,North Carolina,184,,,,,,
ND,7,North Dakota,5,,,,,,
NE,26,Nebraska,49,,,,,,
NH,37,New Hampshire,50,,,,,,
NJ,17,New Jersey,152,,,,,,
NM,24,New Mexico,49,,,,,,
NV,20,Nevada,59,,,,,,
NY,23,New York,461,,,,,,
OH,32,Ohio,376,,,,,,
OK,6,Oklahoma,25,,,,,,
OR,73,Oregon,298,,,,,,
PA,31,Pennsylvania,402,,,,,,
RI,19,Rhode Island,20,,,,,,
SC,12,South Carolina,60,,,,,,
SD,16,South Dakota,14,,,,,,
TN,14,Tennessee,95,,,,,,
TX,11,Texas,314,,,,,,
UT,11,Utah,33,,,,,,
VA,21,Virginia,175,,,,,,
VT,91,Vermont,57,,,,,,
WA,47,Washington,342,,,,,,
WI,56,Wisconsin,326,,,,,,
WV,17,West Virginia,32,,,,,,
WY,27,Wyoming,16,,,,,,
